order,label,value
1,None/clean – No macroalgae or animals present,none
2,Light – Macroalgae or minimal animals present that do not encroach on mesh openings,light
3,Medium – Some encrusting macroalgae/animals reducing size of mesh opening up to 25%,medium
4,Heavy – Encrusting macroalgae/animals reducing mesh opening by over 50%,heavy
