order,label,value
1,Sunny,sunny
2,Partly Cloudy,partly-cloudy
3,Cloudy,cloudy
4,Rain,rain
5,Fog,fog
6,Snow,snow
7,Hail,hail
8,Thunderstorm,thunderstorm
