order,label,value
0,Fish,fish
1,Crustaceans,crustaceans
2,Molluscs,molluscs
3,Worms,worms
4,Tunicates,tunicates
5,Sponges,sponges
6,Bryozoans,bryozoans
7,Cnidarians,cnidarians
